object_id,target,Z,EBV
synthetic_189,1,0.2835,0.024
synthetic_190,1,0.3755,0.06
synthetic_191,1,0.4909,0.017
synthetic_192,1,1.108,0.051
synthetic_193,1,0.5259,0.05
synthetic_194,1,0.1035,0.027
synthetic_195,1,0.2464,0.142
synthetic_196,1,0.2163,0.043
synthetic_197,1,1.14,0.029
synthetic_198,1,0.6345,0.029
synthetic_199,1,0.5293,0.015
synthetic_200,1,0.2677,0.134
synthetic_201,1,0.6775,0.07
synthetic_202,1,0.151,0.048
synthetic_203,1,0.1988,0.01
synthetic_204,1,0.6391,0.114
synthetic_205,1,0.3395,0.017
synthetic_206,1,0.5209,0.057
synthetic_207,1,1.152,0.054
synthetic_208,1,0.4865,0.079
synthetic_209,1,0.3771,0.023
synthetic_210,1,0.3955,0.066
synthetic_211,1,0.6071,0.071
synthetic_212,1,0.4071,0.017
synthetic_213,1,0.3042,0.052
synthetic_214,1,0.7893,0.081
synthetic_215,1,0.3539,0.171
synthetic_216,1,0.153,0.028
synthetic_217,1,0.2983,0.054
synthetic_218,1,1.536,0.022
synthetic_219,1,0.1889,0.017
synthetic_220,1,0.8855,0.034
synthetic_221,1,0.9246,0.022
synthetic_222,1,0.1731,0.03
synthetic_223,1,1.088,0.036
synthetic_224,1,0.4181,0.03
synthetic_225,1,2.137,0.045
synthetic_226,1,0.4633,0.012
synthetic_227,1,0.8415,0.03
synthetic_228,1,0.6939,0.078
synthetic_229,1,1.831,0.164
synthetic_230,1,0.3329,0.029
synthetic_231,1,0.2898,0.105
synthetic_232,1,0.4013,0.015
synthetic_233,1,0.6719,0.026
synthetic_234,1,0.4391,0.061
synthetic_235,1,1.147,0.059
synthetic_236,1,0.4862,0.038
synthetic_237,1,0.8855,0.041
synthetic_238,1,0.1667,0.056
synthetic_239,1,0.3497,0.032
synthetic_240,1,0.6854,0.154
synthetic_241,1,0.2522,0.091
synthetic_242,1,0.5312,0.058
synthetic_243,1,0.2699,0.011
synthetic_244,1,1.086,0.048
synthetic_245,1,0.9914,0.012
synthetic_246,1,0.215,0.079
synthetic_247,1,0.2895,0.038
synthetic_248,1,0.3014,0.077
synthetic_249,1,0.8201,0.017
synthetic_250,1,0.5741,0.046
synthetic_251,1,1.504,0.057
synthetic_252,1,0.4053,0.109
synthetic_253,1,1.203,0.085
synthetic_254,1,0.3386,0.204
synthetic_255,1,0.7126,0.04
synthetic_256,1,0.714,0.085
synthetic_257,1,1.215,0.084
synthetic_258,1,0.2131,0.022
synthetic_259,1,0.4153,0.109
synthetic_260,1,0.5798,0.032
synthetic_261,1,0.9203,0.029
synthetic_262,1,1.093,0.061
synthetic_263,1,0.2176,0.031
synthetic_264,1,0.3147,0.028
synthetic_265,1,0.2004,0.021
synthetic_266,1,1.711,0.328
synthetic_267,1,0.2896,0.035
synthetic_268,1,0.8,0.052
synthetic_269,1,0.8881,0.021
synthetic_270,1,0.4835,0.073
synthetic_271,1,0.3734,0.058
synthetic_272,1,0.5707,0.023
synthetic_273,1,0.2481,0.028
synthetic_274,1,0.2937,0.022
synthetic_275,1,0.5346,0.012
synthetic_276,1,0.3579,0.008
synthetic_277,1,0.3553,0.049
synthetic_278,1,0.5029,0.063
synthetic_279,1,0.4721,0.056
synthetic_280,1,1.228,0.01
synthetic_281,1,0.1536,0.023
synthetic_282,1,0.5331,0.052
synthetic_283,1,1.592,0.015
synthetic_284,1,0.2517,0.037
synthetic_285,1,0.1871,0.008
synthetic_286,1,0.5331,0.061
synthetic_287,1,0.4037,0.214
synthetic_288,1,0.2556,0.017
synthetic_289,1,0.8573,0.039
synthetic_290,1,0.5357,0.029
synthetic_291,1,0.2858,0.163
synthetic_292,1,0.3539,0.033
synthetic_293,1,0.4711,0.031
synthetic_294,1,1.037,0.168
synthetic_295,1,0.5637,0.015
synthetic_296,1,0.9178,0.077
synthetic_297,1,0.3661,0.026
synthetic_298,1,0.7588,0.009
synthetic_299,1,1.569,0.031
synthetic_300,1,1.285,0.079
synthetic_301,1,0.7269,0.037
synthetic_302,1,0.2033,0.082
synthetic_303,1,1.067,0.058
synthetic_304,1,1.051,0.026
synthetic_305,1,0.438,0.023
synthetic_306,1,0.3788,0.023
synthetic_307,1,0.6424,0.028
synthetic_308,1,0.2095,0.13
synthetic_309,1,0.7532,0.034
synthetic_310,1,0.641,0.105
synthetic_311,1,0.4533,0.046
synthetic_312,1,0.7935,0.013
synthetic_313,1,0.345,0.038
synthetic_314,1,0.7473,0.033
synthetic_315,1,0.3035,0.032
synthetic_316,1,0.6946,0.06
synthetic_317,1,0.5327,0.032
synthetic_318,1,0.3542,0.068
synthetic_319,1,0.2574,0.057
synthetic_320,1,0.6414,0.16
synthetic_321,1,0.3788,0.029
synthetic_322,1,0.3401,0.011
synthetic_323,1,0.1543,0.119
synthetic_324,1,0.2032,0.013
synthetic_325,1,0.1623,0.038
synthetic_326,1,1.861,0.039
synthetic_327,1,0.8964,0.028
synthetic_328,1,0.3112,0.086
synthetic_329,1,1.821,0.061
synthetic_330,1,0.6359,0.446
synthetic_331,1,0.4811,0.029
synthetic_332,1,0.8645,0.066
synthetic_333,1,0.2358,0.051
synthetic_334,1,0.2004,0.108
synthetic_335,1,0.4566,0.011
synthetic_336,1,1.108,0.116
synthetic_337,1,1.35,0.013
synthetic_338,1,0.3355,0.012
synthetic_339,1,0.3443,0.015
synthetic_340,1,1.228,0.051
synthetic_341,1,0.3206,0.026
synthetic_342,1,1.012,0.01
synthetic_343,1,0.7319,0.017
synthetic_344,1,0.4126,0.048
synthetic_345,1,3.374,0.036
synthetic_346,1,0.5054,0.047
synthetic_347,1,1.176,0.012
synthetic_348,1,0.936,0.085
synthetic_349,1,0.4922,0.014
synthetic_350,1,0.4047,0.008
synthetic_351,1,0.2835,0.059
synthetic_352,1,0.4223,0.012
synthetic_353,1,0.3603,0.026
synthetic_354,1,0.432,0.155
synthetic_355,1,2.0,0.029
synthetic_356,1,1.244,0.016
synthetic_357,1,1.072,0.023
synthetic_358,1,0.4352,0.024
synthetic_359,1,0.3918,0.052
synthetic_360,1,0.6734,0.027
synthetic_361,1,0.4167,0.013
synthetic_362,1,1.338,0.047
synthetic_363,1,1.071,0.03
synthetic_364,1,0.2122,0.043
synthetic_365,1,0.467,0.285
synthetic_366,1,0.58,0.01
synthetic_367,1,0.4849,0.007
synthetic_368,1,0.3619,0.092
synthetic_369,1,0.6726,0.006
synthetic_370,1,0.4315,0.018
synthetic_371,1,2.238,0.121
synthetic_372,1,0.3553,0.025
synthetic_373,1,0.2083,0.048
synthetic_374,1,3.577,0.068
synthetic_375,1,0.6806,0.075
synthetic_376,1,0.4421,0.042
synthetic_377,1,0.445,0.011
synthetic_378,1,0.3752,0.043
synthetic_379,1,0.1611,0.03
synthetic_380,1,0.6586,0.031
synthetic_381,1,1.513,0.028
synthetic_382,1,0.4457,0.011
synthetic_383,1,0.3641,0.025
synthetic_384,1,0.09905,0.048
synthetic_385,1,0.2209,0.206
synthetic_386,1,0.4346,0.069
synthetic_387,1,0.4585,0.177
synthetic_388,1,0.8603,0.02
synthetic_389,1,1.138,0.231
synthetic_390,1,0.7998,0.051
synthetic_391,1,1.053,0.032
synthetic_392,1,0.2899,0.07
synthetic_393,1,0.1921,0.023
synthetic_394,1,0.9764,0.057
synthetic_395,1,0.3965,0.01
synthetic_396,1,1.147,0.022
synthetic_397,1,0.3609,0.01
synthetic_398,1,0.4181,0.087
synthetic_399,1,0.7314,0.061
synthetic_400,1,1.445,0.076
synthetic_401,1,0.1044,0.035
synthetic_402,1,0.1868,0.052
synthetic_403,1,0.5624,0.015
synthetic_404,1,0.3666,0.045
synthetic_405,1,1.135,0.062
synthetic_406,1,0.702,0.015
synthetic_407,1,0.2539,0.083
synthetic_408,1,0.2934,0.019
synthetic_409,1,0.551,0.106
synthetic_410,1,0.786,0.055
synthetic_411,1,0.6922,0.056
synthetic_412,1,0.5852,0.046
synthetic_413,1,1.665,0.043
synthetic_414,1,0.3687,0.063
synthetic_415,1,0.5708,0.031
synthetic_416,1,0.2067,0.019
synthetic_417,1,0.5281,0.008
synthetic_418,1,1.951,0.071
synthetic_419,1,0.3509,0.038
synthetic_420,1,0.6499,0.012
synthetic_421,1,0.8,0.058
synthetic_422,1,2.76,0.046
synthetic_423,1,0.3092,0.017
synthetic_424,1,1.199,0.008
synthetic_425,1,0.277,0.017
synthetic_426,1,1.462,0.015
synthetic_427,1,0.1817,0.021
synthetic_428,1,0.58,0.012
synthetic_429,1,0.1555,0.011
synthetic_430,1,0.3549,0.028
synthetic_431,1,0.2312,0.028
synthetic_432,1,0.371,0.062
synthetic_433,1,1.031,0.138
synthetic_434,1,0.5901,0.012
synthetic_435,1,1.78,0.047
synthetic_436,1,2.768,0.024
synthetic_437,1,0.8373,0.048
synthetic_438,1,0.5886,0.06
synthetic_439,1,0.5155,0.052
synthetic_440,1,1.245,0.01
synthetic_441,1,0.6814,0.031
synthetic_442,1,0.5531,0.079
synthetic_443,1,0.4352,0.02
synthetic_444,1,0.4973,0.015
synthetic_445,1,0.2919,0.083
synthetic_446,1,0.2313,0.022
synthetic_447,1,0.2269,0.024
synthetic_448,1,0.1719,0.087
synthetic_449,1,0.2,0.007
synthetic_450,1,1.334,0.042
synthetic_451,1,0.6348,0.032
synthetic_452,1,1.097,0.015
synthetic_453,1,0.2143,0.013
synthetic_454,1,0.2847,0.016
synthetic_455,1,0.1437,0.03
synthetic_456,1,0.8153,0.061
synthetic_457,1,0.1475,0.045
synthetic_458,1,0.6403,0.012
synthetic_459,1,0.1821,0.038
synthetic_460,1,1.607,0.077
synthetic_461,1,0.7826,0.025
synthetic_462,1,0.3609,0.081
synthetic_463,1,0.2178,0.089
synthetic_464,1,0.3543,0.125
synthetic_465,1,0.6718,0.106
synthetic_466,1,1.562,0.177
synthetic_467,1,0.6675,0.042
synthetic_468,1,1.068,0.017
synthetic_469,1,0.253,0.021
synthetic_470,1,0.3708,0.007
synthetic_471,1,0.2116,0.014
synthetic_472,1,1.22,0.017
synthetic_473,1,1.2,0.05
synthetic_474,1,1.203,0.03
synthetic_475,1,0.3615,0.018
synthetic_476,1,0.5618,0.033
synthetic_477,1,2.401,0.021
synthetic_478,1,0.2795,0.138
synthetic_479,1,0.439,0.054
synthetic_480,1,0.3603,0.025
synthetic_481,1,1.244,0.053
synthetic_482,1,0.2542,0.157
synthetic_483,1,0.9614,0.018
synthetic_484,1,0.271,0.066
synthetic_485,1,1.264,0.022
synthetic_486,1,0.2503,0.012
synthetic_487,1,0.5993,0.057
synthetic_488,1,0.3112,0.028
synthetic_489,1,1.817,0.066
synthetic_490,1,0.7335,0.01
synthetic_491,1,0.3918,0.045
synthetic_492,1,0.2539,0.028
synthetic_493,1,0.3159,0.068
synthetic_494,1,0.2697,0.102
synthetic_495,1,0.3098,0.045
synthetic_496,1,0.5748,0.042
synthetic_497,1,0.3956,0.051
synthetic_498,1,0.9734,0.188
synthetic_499,1,0.1555,0.128
