object_id,prob,SpecType
aith_annon_fast,0.6037432201802722,SN II
cabed_hub_merilin,0.5405534007169072,SN II
cugu_rach_fast,0.23178292340664858,SN Ia
cuin_aear_nestad,0.21797649653662843,SN Ia
eglan_raug_salph,0.1441348069759691,SN Ia
fang_nothrim_heledir,0.24088081498053004,AGN
magor_amdir_glass,0.1931888764241399,AGN
pendrath_gond_faen,0.31990678230705455,SN Ia
saig_ang_edlothiad,0.15535069494450549,SN Ia
salph_fern_tamin,0.25227157089390323,AGN
talraph_Ithil_caras,0.15603806363670103,SN Ia
ank_sammar_rudh,0.20756959199139216,AGN
annon_bragol_heledir,0.8525205161355454,AGN
calad_aranarth_pent,0.1825361565805341,SN Ia
fervain_badhor_neledh,0.18603697007739273,AGN
firiel_corf_annon,0.6837676751392513,SN II
gellui_aes_nur,0.2570499384298729,AGN
honeg_merilin_midh,0.21307086166915712,SN II
lembas_saew_ist,0.1654282356785735,SN IIn
malad_aderthad_gil,0.20575142191549087,SN Ia
muil_thamas_nell,0.2574658111314998,AGN
narthan_gli_law,0.1654282356785735,SN II
nur_nath_gorn,0.2212286932239016,AGN
rhach_lobor_nidh,0.22314948011194635,AGN
rudh_imrath_meril,0.215605611462064,SN Ia-91T-like
tachol_lembas_iaun,0.2308506038311824,SN II
talraph_minas_Mirion,0.15992112022147956,AGN
Elrim_nana_dagnir,0.1938740761967639,AGN
achas_lavan_saig,0.15233855308235583,SLSN-I
aeruil_tavor_ogol,0.1901200691146543,AGN
andrann_luithien_Ennor,0.14286986095794557,SN II
bain_gwaloth_navaer,0.37954637287838616,AGN
balrog_fervain_pent,0.23124134366128699,SN Ia
dunadan_tirith_thor,0.14499401981267718,SN Ia
eirien_cenedril_nur,0.218219523086049,AGN
ira_Eru_gul,0.5396546684475855,AGN
lacha_pod_Mithrim,0.31386770855933765,AGN
magol_bronwe_parf,0.17254981552233495,SN Ia
minuial_gondrath_gwaloth,0.28939143055330413,SN Ic
mirdan_amlug_imlad,0.15343758855686263,AGN
pent_celair_riel,0.16128347846728025,SN IIn
ruith_archam_emel,0.14548240264245893,AGN
Tawarwaith_gaw_in,0.18206162430585993,SN II
aegas_Druadan_gli,0.14825310589215182,AGN
cair_rudh_Sindarin,0.2888622218949645,SN II
daen_tavor_cabor,0.40200901154595026,AGN
firion_gaw_fervain,0.18423608846286404,AGN
gli_panas_in,0.2150408561603371,AGN
iphant_rovalug_bellas,0.4272394759412395,SLSN-I
lend_hend_suil,0.4665818104614521,SN Ia
maecheneb_galenas_corf,0.6569669298473894,AGN
mir_suil_hub,0.18892290401489326,AGN
neledh_Mirion_mithren,0.23422580142029834,SN II
uir_lalaith_Tawarwaith,0.17388654836727335,AGN
archam_alag_rist,0.4926998306670023,SN II
bellas_baug_menel,0.30073895202401363,SN Ia
celeb_malad_alag,0.1466469621450377,SN Ia
dirnaith_muinthel_Elrim,0.2006242801550917,AGN
elu_guldur_baneth,0.17702085839271883,AGN
gath_Eru_neledh,0.5299149098563463,SLSN-I
gwaloth_luith_cund,0.15174140269732275,SLSN-I
myril_glaur_forodrim,0.8263734080260005,SN Ia
noroth_haudh_law,0.4872843581802072,AGN
randir_melethril_lembas,0.3201372585837066,AGN
riel_hervenn_fervain,0.14952608829752512,SN II
ruith_nimp_tobas,0.23254935211245212,AGN
tang_aphadrim_gilgalad,0.17203281045809687,AGN
toll_lain_haust,0.6733419392779572,SLSN-I
Rochirrim_rust_adab,0.18338466545350357,SN Ia
cund_mereth_tachol,0.22876216095877502,SN Ia
firen_corch_laer,0.2453344553768424,SN IIn
hast_naer_bass,0.4297145177949956,AGN
hwiniol_adar_faen,0.2799466332595853,SN Ia
iar_lam_certh,0.2537652720774858,AGN
inias_ulug_honeg,0.18606766786984735,SN IIn
ithildin_lembas_uan,0.3543120417272521,SLSN-II
ithron_aegas_Tawarwaith,0.1480276402770075,AGN
muinthel_fervain_lend,0.1464678201256538,SN IIn
nagol_heledir_morgul,0.1591822457404775,SN II
onodrim_romru_mindon,0.23963051860379955,SN II
rudh_hast_drego,0.23747948296009685,SN Ia
uanui_mirdan_lacha,0.6302817082638835,AGN
alae_haeron_aphadrim,0.23422580142029834,SN Ia
heleg_nur_limlug,0.20591894877628644,SN Ia
meldir_rach_iar,0.21104014460076342,AGN
midh_ist_thangail,0.1816714930741058,AGN
neledh_morgul_glaur,0.3770581878723373,AGN
ogol_thul_rodwen,0.22468750293026105,SN Ia
pendrath_cirdan_thor,0.2181224108700377,AGN
pendrath_gwend_riel,0.2087070347757461,AGN
riel_hervess_thamas,0.17522342372041325,AGN
ris_tavor_navaer,0.5798281594363677,AGN
saer_archam_heledh,0.15352625260115224,SN Ia
ungol_bregedur_faen,0.7190176281383911,SN Ia
ylf_Eluwaith_amlug,0.14820134157420622,AGN
adab_faun_aith,0.2453344553768424,SN IIP
agar_graw_pethron,0.17021513302861238,SN Ia
agor_certh_heron,0.2491679631733635,SN Ia
alagos_honeg_bragol,0.218219523086049,AGN
daen_balrog_min,0.3233955658914601,AGN
dannas_ira_suil,0.1680370640870057,SN II
glandagol_celeb_maecheneb,0.7764752236762725,SN Ia
gondrath_aear_puig,0.2755691448972663,AGN
honeg_hud_bronwe,0.21352064048041364,SN Ia
lagor_cenedril_lost,0.14820134157420622,SN Ia
maethor_faen_cair,0.6990573437140846,AGN
nagol_gaurwaith_firen,0.2999232314866304,SN IIP
nagol_minai_honeg,0.4075586741692266,SN Ia
paich_glamog_glamor,0.638518356572844,AGN
rach_nath_gwathui,0.5857179364264169,SN II
saer_pendrath_aegas,0.20102189029245818,SN IIn
aear_lunt_nana,0.303648883241948,AGN
ah_muinthel_tobas,0.27679504514606623,AGN
annon_lorn_baug,0.5649270310187359,AGN
cae_Ennor_ulug,0.19270860873992243,AGN
cuil_gwanur_panas,0.4395011463534311,AGN
edlothiad_corch_cugu,0.170203356709235,SN Ia
fae_myril_cugu,0.17763168655842662,AGN
ist_eglan_rom,0.14722062294898344,SN Ia
lachenn_angos_amlug,0.27082074126387845,AGN
laug_ennorath_glamog,0.69764248514449,SN Ia
lend_harad_aith,0.318444116939965,AGN
melethril_bragol_tirith,0.22437948502395413,AGN
nagol_per_tachol,0.3066775463997311,AGN
parf_cugu_magol,0.16453405374129632,AGN
pendrath_aes_Eru,0.2271867074840337,SN Ia
tathar_uruk_adel,0.1440965424424543,SN Ia
thamas_gwarth_gwathui,0.3906556292622848,AGN
Gwathuirim_gwanur_hu,0.23399430187638814,SN II
Ithil_menel_agar,0.17789076246128854,SN Ia
celair_amon_hervess,0.18379059880882845,AGN
haradrim_ablad_luith,0.17198624247324149,SN Ia
heleg_galad_fae,0.31690442214237097,AGN
lalaith_galas_elvellon,0.45685584222101233,SN Ia
lass_tobas_sammar,0.14991001234225215,SN Ib
lebdas_riel_cenedril,0.1816714930741058,SN II
loss_anann_yll,0.29619528101917897,SN Ib
lunt_gaw_gaurwaith,0.3074688589025584,AGN
meldir_faen_ingem,0.18324540297786798,SN Iax[02cx-like]
mithren_lin_in,0.20364716073954023,SN Ia
muil_hun_alae,0.2572725339844637,AGN
onodrim_ruith_lang,0.3064951965076877,SN II
thamas_amarth_eredh,0.3374367255132519,SN Iax[02cx-like]
thul_rochben_eglan,0.24791260968366682,AGN
Druadan_galas_ram,0.14739609190279823,AGN
aran_dannas_malad,0.16038182512918236,AGN
baug_tavor_pent,0.18480930055154382,SN Ia
gador_lost_mil,0.15352625260115224,SN Ia
galadhrim_roch_eglan,0.2552256860220165,AGN
gellui_ank_uir,0.28482816111118675,AGN
gul_mithril_ungol,0.3201372585837066,SN Ia
maen_ithron_laes,0.19228022419462668,AGN
mithren_nothrim_meldir,0.14940234708329153,SN Ic-BL
rhun_dagnir_eryn,0.3074688589025584,SN Ia
thurin_Gonhir_Druadan,0.16515120424418972,SN Ia
ulug_hervenn_menel,0.17065928140025025,SN Ia
Mithrim_mereth_rom,0.21776791323613237,SN II
aear_morgul_heleg,0.14961894602990278,SN Ia
anann_raegdan_lost,0.17911195009973868,SN Ia
cabor_aran_melethril,0.2250681768566338,SN Ia
corch_iphant_saelor,0.24795559720829796,SN Ia
drafn_mund_lathron,0.8016029974182788,AGN
draug_gwaloth_baug,0.2665197096054471,AGN
drego_lachenn_minas,0.23259191530831835,SN Ia
fervain_idhren_Mirion,0.22314948011194635,SN II
forodrim_myril_pilin,0.26954307810962014,SN II
galenas_saer_rhosc,0.24743562192048568,AGN
gilgalad_eglan_maecheneb,0.18206162430585993,AGN
gwaun_melethril_amdir,0.21605199684868012,AGN
haradrim_ithildin_mereth,0.5520976079722959,SN Ia
iar_aranarth_hwiniol,0.17522342372041325,AGN
iaun_lacha_corch,0.1906377857433646,SN Ia
loss_tann_melethron,0.23124134366128699,AGN
nimp_alph_faen,0.3074967246800023,AGN
peredhel_nana_baneth,0.24996217364367748,AGN
rochben_cugu_galenas,0.6758152038332118,AGN
rochben_lagor_galad,0.485929314960014,AGN
saig_lost_duin,0.4225242415837514,SN Ic
suil_mil_aeglir,0.7544545294724143,AGN
uir_gaw_aeruil,0.14507605764311032,SN Ia
angos_pod_cabed,0.5682613871637757,AGN
aranarth_rhovan_lasguil,0.17842469546561585,AGN
bragol_galenas_raug,0.23448465584742603,SN Ia
callon_raef_espalass,0.14640150265762278,SN Ia
duin_aegas_gwael,0.5896418953683532,AGN
duin_forodrim_lin,0.5194413822001679,AGN
emel_archam_rusc,0.21352064048041364,AGN
hal_certh_pilin,0.20656521066591021,AGN
harad_nost_firen,0.21837117413074364,AGN
ithildin_firion_meril,0.17693125292020814,AGN
lorn_magol_thavron,0.1472206229489835,AGN
magol_rochben_adab,0.37599160595845343,SN Ia
rach_gaw_tobas,0.1740643917291409,SN Ia
uruk_paich_peredhel,0.2667916520015574,SN II
corch_hadhod_hul,0.25113339909051957,SN Ia
forodrim_cyron_lebdas,0.14515149117009038,SN Ia
galadh_ingem_maethor,0.15232556561650204,AGN
gwilwileth_galad_lebdas,0.1518103470442461,SN Ia
idhren_honeg_rhosc,0.35718953506003537,AGN
imlad_laer_magor,0.14509859499957115,AGN
laes_nestad_alph,0.24422041237724262,AGN
min_aerlinn_ah,0.25533564759444566,SN II
minuial_law_hervess,0.16404360590792127,AGN
mir_dunedhel_per,0.35326691199448024,SN Ia
muil_sammar_lossen,0.36984824080534145,SN II
nestad_cae_corf,0.15530586187553885,AGN
rist_hal_cirdan,0.18622470440128977,AGN
saig_lathron_Rochirrim,0.3327022012583205,SN Ia
Eluwaith_Druadan_cuin,0.16154595310677,SN Ia
aegas_ryn_imlad,0.17218861947251857,SN Ia
agarwaen_tobas_andrann,0.23444304157772292,SN Ia
braig_graw_bellas,0.2737533858813295,AGN
drego_luin_tinnu,0.15603806363670103,SN Ia
lachenn_guldur_Mithrim,0.19305092156499234,AGN
luin_Eluwaith_thangail,0.23124134366128699,SN Ia
nestad_merilin_lain,0.181786193030524,SN Ia
pilin_balrog_magor,0.18354204618854386,AGN
